BearPop,Sex,BearNo,EstimatedAge,NoseVent,HeadTotal,LeanMass
GAAR,F,14001,5.5,156,46,58.8
GAAR,F,14004,11,,50,
GAAR,F,14005,10,173,54,83.36
GAAR,F,14008,10,160,51,70.57
GAAR,F,14011,7.5,148,50,56.73
GAAR,F,14016,8,168,50,79.19
GAAR,F,14017,11,159,52,66.88
GAAR,F,14019,16,168,58,98.64
GAAR,F,14020,8,170,49,85.66
GAAR,F,14021,20,172,55,108.54
GAAR,F,14022,10.5,152,48,55.81
GAAR,F,14022,14,156,47,73.55
GAAR,F,14023,9.5,170,54,
GAAR,F,14024,14,172,55,101.62
GAAR,F,14025,20,162,54,96.29
GAAR,F,14026,10,165,51,79.12
GAAR,F,14027,3.5,136,45,55.45
GAAR,F,14028,13.5,170,52,89.71
GAAR,F,14029,8,160,50,65.91
GAAR,F,14030,14,179,50,92.84
GAAR,F,14031,9,171,51,98.52
GAAR,F,14032,25,170,53,77.62
GAAR,F,14033,25,174,51,90.53
GAAR,F,14034,6,153,48,84.86
GAAR,F,14035,18.5,168,48,67.81
GAAR,F,15003,15.5,156,49,65.53
GAAR,F,15004,6.5,142,44,56.14
GAAR,F,15005,24,151,48,66.99
GAAR,F,15008,7,132,41,46.45
GAAR,F,15009,10,166,48,83.23
GAAR,F,16001,20,166,51,78.65
GAAR,F,16003,10,166,51,77.9
GAAR,F,16008,11,164,52,85.36
GAAR,M,14002,7.5,164,52,46.36
GAAR,M,14003,11,179,57,116.54
GAAR,M,14006,6,159,51,74.76
GAAR,M,14006,8,168,47,87.25
GAAR,M,14007,11,182,61,104.51
GAAR,M,14009,15,194,61,
GAAR,M,14010,9,188,58,110.65
GAAR,M,14012,5.5,,58,
GAAR,M,14013,6,,46,
GAAR,M,14014,15,,58,
GAAR,M,14015,15.5,,63,
GAAR,M,14018,14.5,181,57,123.18
GAAR,M,15001,8,186,58,129.99
GAAR,M,15006,12.5,172,52,72.69
GAAR,M,15007,7,149,46,66.49
GAAR,M,16002,23.5,189,63,132.66
GAAR,M,16005,10,187,54,131.22
GAAR,M,16006,15,187,66,
GAAR,M,16009,12,196,63,164.16
LACL,F,401,12.5,,58,
LACL,F,403,13.5,,61,
LACL,F,404,11,,59,
LACL,F,408,20,,57,
LACL,F,411,6,,53,
LACL,F,412,7,,55,
LACL,F,413,7,,54,
LACL,F,414,17,,62,
LACL,F,415,19,,57,
LACL,F,418,15,,55,
LACL,F,420,16.5,,55,
LACL,F,422,5,,46,
LACL,F,426,13,,58,
LACL,F,517,16,,53,
LACL,F,518,19,,55,
LACL,F,519,16,,59,
LACL,F,523,11,,57,
LACL,F,405,12,160,54,84.55
LACL,F,407,7,163,56,90.62
LACL,F,410,30,193,58,146.12
LACL,F,416,17.5,197,60,128.34
LACL,F,417,11,183,55,104.77
LACL,F,423,11,154,49,77.71
LACL,F,424,20,191,56,125.67
LACL,F,501,10,169,,88.76
LACL,F,502,12,179,56,101.36
LACL,F,503,13.5,168,54,96.16
LACL,F,509,11,180,53,119.89
LACL,F,510,13.5,171,63,
LACL,F,513,16.5,160,54,
LACL,F,519,16.5,176,54,117.47
LACL,M,406,13.5,,59,
LACL,M,409,11,,67,
LACL,M,419,18,,60,
LACL,M,421,10,193,62,172.28
LACL,M,425,8.5,166,53,89.44
LACL,M,505,14,188,56,133.92
LACL,M,506,20,211,69,202.87
LACL,M,507,5.5,162,57,85.68
LACL,M,508,20,233,71,
LACL,M,511,20,207,76,188.3
LACL,M,512,25,220,,243.43
LACL,M,514,20,202,61,203.94
LACL,M,515,18,202,64,196.94
LACL,M,516,9,200,62,136.95
LACL,M,520,13,189,57,140.75
LACL,M,521,11,190,62,148.38
LACL,M,522,16.5,189,60,120.22
LACL,M,601,19,186,60,122.08
KOD,F,574,10,183,47,142.27
KOD,F,532,25,181,60,
KOD,F,554,20,199,60,
KOD,F,575,7,164,56,115.97
KOD,F,576,14,181,61,128.37
KOD,F,577,17,192,65,
KOD,F,578,10,195,60,137.31
KOD,F,579,13,192,61,157.87
KOD,F,580,14,180,57,132.16
KOD,F,581,17,191,59,
KOD,F,582,8,178,59,134.34
KOD,F,583,10,183,60,120.69
KOD,F,584,14,190,61,150.24
KOD,F,585,13,204,61,
KOD,F,586,16,210,62,196.75
KOD,F,588,9,194,61,156.76
KATM,F,15,10,178,55,132.7
KATM,F,35,7.5,158,46,95.45
KATM,F,55,16.5,184,60,132.32
KATM,F,65,18,186,64,136.47
KATM,F,75,7,177,51,107.81
KATM,F,85,18,207,65,202.45
KATM,F,95,17.5,192,58,145.06
KATM,F,105,5.5,153,48,83.75
KATM,F,115,20,199,72,161.13
KATM,F,86,20,179,59,146.32
KATM,F,106,14,189,58,154.13
KATM,F,76,13,184,57,134.55
KATM,F,96,16,197,58,172.4
KATM,F,66,12,167,53,113.73
KATM,F,56,17,197,64,149.02
KATM,F,46,15,191,60,165.89
KATM,F,26,5.5,174,49,106.82
KATM,F,16,4,152,48,77.31
